name,Info,,,,,
Red Bull,"Red Bull Racing, also simply known as Red Bull or RBR and competing as Oracle Red Bull Racing, is a Formula One racing team, racing under an Austrian licence and based in the United Kingdom. It is one of two Formula One teams owned by beverage company Red Bull GmbH, the other being Scuderia AlphaTauri (previously Scuderia Toro Rosso). The Red Bull Racing team has been managed by Christian Horner since its formation in 2005.",,,,,
Ferrari,"Scuderia Ferrari S.p.A. (Italian: [skudeˈriːa ferˈraːri]) is the racing division of luxury Italian auto manufacturer Ferrari and the racing team that competes in Formula One racing. The team is also nicknamed ""The Prancing Horse"", in reference to their logo. It is the oldest surviving and most successful Formula One team, having competed in every world championship since the 1950 Formula One season.[7] The team was founded by Enzo Ferrari, initially to race cars produced by Alfa Romeo, though by 1947 Ferrari had begun building its own cars. Among its important achievements outside Formula One are winning the World Sportscar Championship, 24 Hours of Le Mans, 24 Hours of Spa, 24 Hours of Daytona, 12 Hours of Sebring, Bathurst 12 Hour, races for Grand tourer cars and racing on road courses of the Targa Florio, the Mille Miglia and the Carrera Panamericana. The team is also known for its passionate support base, known as the tifosi. The Italian Grand Prix at Monza is regarded as the team's home race.",,,,,
Mercedes,"Mercedes-Benz, a brand of the Mercedes-Benz Group, has been involved in Formula One as both team owner and engine manufacturer for various periods since 1954. The Mercedes-AMG Petronas F1 Team, which is based in Brackley, England,[1] and possesses a German licence,[2] is as of 2022 majority owned by the Mercedes-Benz Group with Toto Wolff having a significant shareholding. Mercedes-branded teams are often referred to by the nickname, the ""Silver Arrows"". An announcement was made in December 2020[3] that Ineos planned to take a one third equal ownership stake alongside the Mercedes-Benz Group and Wolff; this came into effect on 25 January 2022.[4]",,,,,
Alpine F1 Team,"Alpine F1 Team, competing as BWT Alpine F1 Team,[5] is a Formula One constructor which made its debut at the start of the 2021 Formula One World Championship. Formerly named Renault F1 Team and owned by the French automotive company Groupe Renault, the team was rebranded for 2021 to promote Renault's sports car brand, Alpine, and continues to serve as Renault's works team.[6] The chassis and managerial side of the team is based in Enstone, Oxfordshire, England, and the engine side of the team is based in Viry-Châtillon, a suburb of Paris, France.",,,,,
McLaren,"McLaren Racing Limited is a British motor racing team based at the McLaren Technology Centre in Woking, Surrey, England. McLaren is best known as a Formula One constructor, the second oldest active team, and the second most successful Formula One team after Ferrari, having won 183 races, 12 Drivers' Championships and 8 Constructors' Championships. McLaren also has a history of competing in American open wheel racing, as both an entrant and a chassis constructor, and has won the Canadian-American Challenge Cup (Can-Am) sports car racing championship. The team is a subsidiary of the McLaren Group, which owns a majority of the team.",,,,,
Alfa Romeo,"Italian motor manufacturer Alfa Romeo has participated many times in Formula One. It currently participates as Alfa Romeo F1 Team Orlen while being operated by Sauber Motorsport AG. The brand has competed in motor racing as both a constructor and engine supplier sporadically between 1950 and 1987, and later as a commercial partner since 2015. The company's works drivers won the first two World Drivers' Championships in the pre-war Alfetta: Nino Farina in 1950 and Juan Manuel Fangio in 1951. Following these successes, Alfa Romeo withdrew from Formula One.",,,,,
Haas F1 Team,"Haas Formula LLC,[6] competing as Haas F1 Team,[7][8] is an American Formula One racing team established by NASCAR Cup Series team co-owner Gene Haas in April 2014. The team originally intended to make its debut at the start of the 2015 season [9][10] but later elected to postpone their entry until the 2016 season.[11] The team principal for the Haas F1 team is Guenther Steiner.",,,,,
AlphaTauri,"Scuderia AlphaTauri, or simply AlphaTauri, is an Italian Formula One racing team and constructor. It is one of two Formula One constructors owned by Austrian beverage company Red Bull, the other being Red Bull Racing. The constructor was rebranded for the 2020 Formula One World Championship from ""Toro Rosso"" to ""AlphaTauri"" in order to promote the AlphaTauri fashion brand.[5] According to Franz Tost and Helmut Marko, Scuderia AlphaTauri is no longer the junior team but the sister team to Red Bull Racing.[6]",,,,,
Aston Martin,"Aston Martin is a British car manufacturer that has participated in Formula One in various forms. The company first participated in Formula One during the 1959 season where they debuted the DBR4 chassis using their own engine but it failed to score any points. They continued to perform poorly through the 1960 season, once again failing to score any points. As a result, Aston Martin decided to leave Formula One after 1960.
A commercial rebranding of Racing Point F1 Team resulted in the team's return as Aston Martin in 2021, it competes using Mercedes power units. The team, owned by Lawrence Stroll, has Sebastian Vettel and Lance Stroll as their race drivers. The team is headquartered in Silverstone.",,,,,
Williams,"Williams Grand Prix Engineering Limited, currently racing in Formula One as Williams Racing, is a British Formula One motor racing team and constructor. It was founded by former team owner Frank Williams and automotive engineer Patrick Head. The team was formed in 1977 after Frank Williams' earlier unsuccessful F1 operation: Frank Williams Racing Cars (which later became Wolf–Williams Racing in 1976). All of Williams F1 chassis are called ""FW"" then a number, the FW being the initials of team co-founder and original owner, Frank Williams.",,,,,
